,drug vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
66,1 0 0 0 0 1 0,0.5,0.5,0.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
67,1 0 0 0 0 1 1,0.5,0.5,0.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
68,1 0 0 0 1 0 0,1.5,1.5,1.5,9.5,1.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
69,1 0 0 0 1 0 1,0.5,0.5,0.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
70,1 0 0 0 1 1 0,0.5,0.5,0.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
71,1 0 0 0 1 1 1,0.5,0.5,0.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
72,1 0 0 1 0 0 0,1.5,1.5,1.5,3.5,1.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
73,1 0 0 1 0 0 1,0.5,0.5,0.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
74,1 0 0 1 0 1 0,0.5,0.5,0.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
75,1 0 0 1 0 1 1,0.5,0.5,0.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
76,1 0 0 1 1 0 0,1.5,1.5,1.5,3.5,1.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
77,1 0 0 1 1 0 1,0.5,0.5,0.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
78,1 0 0 1 1 1 0,0.5,0.5,0.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
79,1 0 0 1 1 1 1,0.5,0.5,0.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
80,1 0 1 0 0 0 0,1.5,1.5,1.5,1.5,1.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
81,1 0 1 0 0 0 1,0.5,0.5,0.5,0.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
82,1 0 1 0 0 1 0,0.5,0.5,0.5,0.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
